1926,66,Lodger (Story of the London Fog),Mystery,"Chesney, Arthur","Hitchcock, Alfred"
1988,103,Appointment with Death,Mystery,"Ustinov, Peter","Donaggio, Michael Winner"
1974,128,Murder on the Orient Express,Mystery,"Balsam, Martin","Lumet, Sidney"
1955,115,Blood Alley,War,"Wayne, John","Wellman, William"
1977,136,"Spy Who Loved Me, The",Action,"Moore, Roger","Gilbert, Lewis"
1988,100,Storm,Action,"Palfy, David","Winning, David"
1991,89,Bloodbath,Horror,"Hopper, Dennis",
1989,103,Miami Cops,Action,"Roundtree, Richard","Bradley, Al"
1996,96,"Island of Dr. Moreau, The",Horror,"Thewlis, David","Frankenheimer, John"
1992,100,Eighty-Four Charing Cross Road,Drama,"Hopkins, Anthony","Jones, David"
1980,124,"Elephant Man, The",Drama,"Hopkins, Anthony","Lynch, David"
1988,90,Dr Alien,Science Fiction,"Jacoby, Billy","DeCoteau, David"
1982,120,Creepshow,Horror,"Holbrook, Hal","Romero, George A."
1987,100,Sammy & Rosie Get Laid,Drama,"Din, Ayub Khan","Frears, Stephen"
1971,101,"Goalie's Anxiety at the Penalty Kick, The",Drama,"Brauss, Arthur","Wenders, Wim"
1957,99,Mademoiselle Striptease,Comedy,"Gelin, Daniel","Allegret, Marc"
1969,86,"Women, The",Drama,"Ronet, Maurice","Aurel, Jean"
1958,77,That Naughty Girl,Comedy,"Bretonniere, Jean","Boisrond, Michel"
1959,90,Voulez-Vous Danser Avec Moi?,Comedy,"Vidal, Henri","Boisrond, Michel"
1967,100,"A Coeur Joie, (Head Over Heels)",Action,"Terzieff, Laurent","Bourguignon, Serge"
1968,113,Shalako,Westerns,"Connery, Sean","Dmytryk, Edward"
1964,102,Contempt,Drama,"Palance, Jack","Godard, Jean-Luc"
1965,100,Dear Brigitte,Comedy,"Mumy, Billy","Koster, Henry"
1962,134,A Very Private Affair,Drama,"Mastroianni, Marcello","Malle, Louis"
1964,99,"Ravishing Idiot, The",Comedy,"Perkins, Anthony","Molinaro, Edouard"
1958,90,"Bride Is Much Too Beautiful, The",Comedy,"Jourdan, Louis","Surin, Fred"
1955,90,Doctor at Sea,Comedy,"Bogarde, Dirk","Thomas, Ralph"
1962,100,"Le Repos Du Guerrier, (Warrior's Rest)",War,"Hossein, Robert","Vadim, Roger"
1957,90,And God Created Woman,Drama,"Jurgens, Curt","Vadim, Roger"
1973,87,Ms. Don Juan,Drama,"Ronet, Maurice","Vadim, Roger"
1987,97,Siesta,Drama,"Byrne, Gabriel","Lambert, Mary"
1932,92,Rich & Strange,Drama,"Kendall, Henry","Hitchcock, Alfred"
1987,104,Lionheart,Action,"Stoltz, Eric","Schaffner, Franklin J."
1982,115,E. T. The Extra-Terrestrial,Science Fiction,"Wallace, Dee","Spielberg, Steven"
1992,101,Cool World,Drama,"Byrne, Gabriel","Bakshi, Ralph"
1988,83,Nadine,Comedy,"Bridges, Jeff","Benton, Robert"
1989,126,Batman,Action,"Nicholson, Jack","Burton, Tim"
1987,95,Blind Date,Comedy,"Willis, Bruce","Edwards, Blake"
1982,101,Mother Lode,Action,"Heston, Charlton","Heston, Charlton"
1992,125,Final Analysis,Drama,"Gere, Richard","Joanou, Phil"
1983,134,Never Say Never Again,Action,"Connery, Sean","Kershner, Irvin"
1986,117,Nine & a Half Weeks,Drama,"Rourke, Mickey","Lyne, Adrian"
1986,108,No Mercy,Drama,"Gere, Richard","Pearce, Richard"
1991,116,"Marrying Man, The",Comedy,"Baldwin, Alec","Rees, Jerry"
1990,123,Misery,Horror,"Caan, James","Reiner, Rob"
1946,93,Crisis,Drama,"Andersson, Wiktor","Bergman, Ingmar"
1984,95,Samson & Delilah,Drama,"Hamilton, Antony","Philips, Lee"
1990,101,Act of Piracy,Mystery,"Busey, Gary",
1988,96,Split Decisions,Drama,"Hackman, Gene","Drury, David"
1989,103,Vampire's Kiss,Comedy,"Cage, Nicolas",
1988,96,Nightmare at Noon,Action,"Hauser, Wings","Mastorakis, Nico"
1990,127,Presumed Innocent,Mystery,"Ford, Harrison","Pakula, Alan J."
1942,123,Reap the Wild Wind,Drama,"Wayne, John","DeMille, Cecil B."
